HR,acc_x,acc_y,acc_z,label
85.23,62.0,-21.0,107.0,0
85.58,48.0,24.0,15.0,0
85.88,58.0,25.0,3.0,0
86.17,54.0,21.0,26.0,0
86.45,53.0,20.0,28.0,0
86.75,53.0,20.0,27.0,0
86.97,53.0,20.0,26.0,0
87.25,54.0,20.0,26.0,0
87.5,53.0,20.0,26.0,0
87.73,54.0,20.0,26.0,0
87.97,53.0,20.0,27.0,0
88.17,63.0,-6.0,16.0,0
88.33,13.0,-61.0,1.0,0
88.5,13.0,-64.0,3.0,0
88.6,10.0,-63.0,12.0,0
88.68,9.0,-61.0,7.0,0
88.67,16.0,-60.0,16.0,0
88.67,18.0,-59.0,16.0,0
88.67,16.0,-58.0,16.0,0
88.65,15.0,-58.0,15.0,0
88.62,18.0,-59.0,15.0,0
88.57,15.0,-58.0,13.0,0
88.45,15.0,-58.0,14.0,0
88.35,17.0,-59.0,14.0,0
88.3,18.0,-59.0,14.0,0
88.25,17.0,-59.0,14.0,0
88.27,17.0,-59.0,14.0,0
88.28,17.0,-58.0,14.0,0
88.27,18.0,-59.0,14.0,0
88.17,18.0,-58.0,14.0,0
88.0,17.0,-59.0,13.0,0
87.72,17.0,-58.0,14.0,0
87.37,17.0,-59.0,13.0,0
87.0,17.0,-59.0,15.0,0
86.62,17.0,-58.0,14.0,0
86.25,15.0,-61.0,10.0,0
85.97,13.0,-61.0,15.0,0
85.68,17.0,-61.0,14.0,0
85.37,14.0,-57.0,13.0,0
85.07,32.0,-57.0,18.0,0
84.83,43.0,-50.0,21.0,0
84.55,20.0,-56.0,11.0,0
84.18,22.0,-60.0,14.0,0
83.77,11.0,-55.0,21.0,0
83.32,4.0,-62.0,-2.0,0
82.92,16.0,-52.0,39.0,0
82.6,45.0,-23.0,39.0,0
82.23,46.0,-27.0,35.0,0
81.85,47.0,-25.0,34.0,0
81.43,47.0,-25.0,33.0,0
81.0,-6.0,23.0,48.0,0
80.5,25.0,33.0,49.0,0
80.03,68.0,28.0,23.0,0
79.57,24.0,26.0,39.0,0
79.08,1.0,35.0,55.0,0
78.58,0.0,32.0,46.0,0
78.27,13.0,31.0,45.0,0
78.0,45.0,42.0,-7.0,0
77.62,33.0,43.0,-34.0,0
77.32,42.0,34.0,-32.0,0
77.03,43.0,34.0,-33.0,0
76.65,43.0,32.0,-34.0,0
76.28,52.0,36.0,-1.0,0
75.9,52.0,37.0,8.0,0
75.55,51.0,36.0,13.0,0
75.13,51.0,36.0,11.0,0
74.8,51.0,36.0,9.0,0
74.47,52.0,19.0,22.0,0
74.2,46.0,-14.0,39.0,0
73.92,30.0,46.0,29.0,0
73.67,24.0,50.0,16.0,0
73.45,35.0,49.0,31.0,0
73.28,22.0,54.0,26.0,0
73.1,41.0,22.0,28.0,0
72.98,43.0,-15.0,43.0,0
72.9,44.0,-14.0,43.0,0
72.92,44.0,-12.0,43.0,0
72.92,43.0,-13.0,43.0,0
72.92,43.0,-15.0,43.0,0
72.9,43.0,-15.0,44.0,0
72.9,43.0,-14.0,44.0,0
72.92,43.0,-14.0,43.0,0
72.97,43.0,-14.0,43.0,0
73.0,43.0,-14.0,44.0,0
73.0,43.0,-14.0,44.0,0
73.02,42.0,-13.0,44.0,0
72.97,44.0,-15.0,43.0,0
72.9,43.0,-14.0,44.0,0
72.85,43.0,-14.0,43.0,0
72.87,44.0,-14.0,43.0,0
72.88,45.0,-11.0,43.0,0
73.03,46.0,-12.0,42.0,0
73.23,46.0,-13.0,41.0,0
73.43,44.0,-14.0,42.0,0
73.63,44.0,-14.0,43.0,0
73.87,44.0,-13.0,43.0,0
74.08,44.0,-14.0,43.0,0
74.27,44.0,-13.0,43.0,0
74.45,44.0,-13.0,43.0,0
74.6,44.0,-13.0,43.0,0
74.72,44.0,-13.0,43.0,0
74.9,44.0,-13.0,43.0,0
75.0,44.0,-13.0,43.0,0
75.1,44.0,-13.0,43.0,0
75.2,45.0,-12.0,42.0,0
75.32,45.0,-10.0,43.0,0
75.32,45.0,-11.0,42.0,0
75.35,45.0,-11.0,43.0,0
75.4,45.0,-11.0,43.0,0
75.45,45.0,-11.0,42.0,0
75.5,46.0,-9.0,42.0,0
75.63,47.0,-8.0,42.0,0
75.8,46.0,-8.0,42.0,0
75.98,46.0,-9.0,42.0,0
76.17,47.0,-8.0,42.0,0
76.35,46.0,-9.0,42.0,0
76.35,45.0,-10.0,42.0,0
76.32,44.0,-13.0,43.0,0
76.35,44.0,-12.0,43.0,0
76.33,45.0,-12.0,43.0,0
76.32,45.0,-12.0,43.0,0
76.32,44.0,-12.0,43.0,0
76.32,44.0,-12.0,43.0,0
76.35,45.0,-12.0,43.0,0
76.35,44.0,-12.0,43.0,0
76.38,44.0,-12.0,43.0,0
76.42,44.0,-12.0,43.0,0
76.4,44.0,-12.0,43.0,0
76.37,44.0,-12.0,43.0,0
76.35,44.0,-12.0,43.0,0
76.3,44.0,-12.0,43.0,0
76.25,45.0,-13.0,42.0,0
76.18,45.0,-10.0,43.0,0
76.13,45.0,-9.0,43.0,0
76.1,45.0,-9.0,42.0,0
76.05,45.0,-9.0,42.0,0
75.98,45.0,-9.0,42.0,0
75.92,46.0,-10.0,42.0,0
75.83,46.0,-9.0,42.0,0
75.75,46.0,-8.0,42.0,0
75.63,47.0,-9.0,41.0,0
75.58,47.0,-8.0,42.0,0
75.58,47.0,-8.0,41.0,0
75.62,47.0,-5.0,43.0,0
75.62,44.0,-12.0,43.0,0
75.6,45.0,-12.0,43.0,0
75.58,44.0,-12.0,43.0,0
75.6,45.0,-12.0,43.0,0
75.63,45.0,-12.0,43.0,0
75.67,44.0,-12.0,43.0,0
75.67,45.0,-12.0,42.0,0
75.63,45.0,-10.0,42.0,0
75.67,45.0,-10.0,43.0,0
75.57,45.0,-10.0,42.0,0
75.47,45.0,-12.0,42.0,0
75.32,43.0,-14.0,42.0,0
75.18,44.0,-12.0,43.0,0
75.05,44.0,-12.0,42.0,0
74.92,49.0,-12.0,38.0,0
74.83,48.0,-12.0,38.0,0
74.73,48.0,-11.0,38.0,0
74.65,53.0,-11.0,44.0,0
